numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista,jaCliente,anosRelacao,mobCliente,passagemCliente
8129,Sophie Green,Edward Jones,TNBC71231349846118,23,0.4483510729,0.0,09/05/2018,0,0.0,40000.0,6,1,0.8035714285714285,0.1964285714285714,0.0,10000.0,01/01/1900,31/12/2019,188039.0,36105.0,283470.0,247365.0,0.0,24650.0,83147.0,382300.0,191150.0,12.0,191150.0,2011.0,2,140000.0,0,0,1.0,2220.0,21/01/2021,1,6,2,0.7
8130,Dr. Karen Robinson,Ms. Angela Kaur,QFBE78979786284617,10,0.0,-9999.0,21/11/2019,0,0.0,1500000.0,6,1,0.75,0.25,0.866025403784439,1170000.0,01/01/1900,30/09/2020,12180931.0,9784101.0,12758967.0,7382989.0,142000.0,4006604.0,7843018.0,43129058.0,18283101.0,9.0,24845957.0,2019.0,0,100000.0,0,0,0.0,0.0,21/01/2021,1,5,1,1.0
8131,Kerry Kaur,Dr. Guy Gallagher,VDBA21302131989643,0,0.376078526,0.0,12/07/2018,0,0.0,10000.0,6,1,0.75,0.25,0.0,10000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,549399.0,0.0,6.0,0.0,2010.0,1,20000.0,0,0,1.0,2220.0,21/01/2021,1,6,2,0.7
8132,Mr. Danny Robson,Dr. Guy Clarke,MEWV40868410072490,4,0.0,-9999.0,09/10/2020,0,0.0,40000.0,5,2,0.6785714285714285,0.3214285714285714,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,48748.0,0.0,6.0,0.0,2019.0,0,50000.0,0,0,0.0,18000.0,01/01/1900,1,4,1,0.0
8133,Amy Parsons,Samuel Sykes,MNQO28417604592807,7,0.0,-9999.0,13/07/2015,0,0.0,800000.0,6,1,0.8571428571428571,0.1428571428571428,-0.866025403784436,600000.0,01/01/1900,31/12/2019,13063759.0,1168687.0,14229770.0,13061083.0,0.0,5408723.0,3059202.0,19162776.0,10374858.0,12.0,8787918.0,2002.0,3,200000.0,0,1,0.0,195500.0,21/01/2021,1,9,2,0.8
8134,Connor Curtis-Morrison,Marion Perry,YWNX90859329600550,0,0.5421731572,0.0,19/05/2020,0,0.0,20000.0,6,1,0.7857142857142857,0.2142857142857142,0.0,20000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,5048431.0,0.0,12.0,0.0,2019.0,0,200000.0,0,0,1.0,33000.0,22/01/2021,1,4,1,1.0
8135,Rosie Thornton,Alex Clark,POPU32025062275349,6,0.5914350962,0.0,07/03/2018,0,0.0,25000.0,3,0,1.0,0.0,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,2,2,1.0,-9999.0,01/01/1900,1,6,2,0.8
8136,June Finch-Marshall,Dr. Louise Hancock,WVXA08000929552221,40,0.6686830926,0.0,22/01/2013,35,6201.0,40000.0,6,1,0.6964285714285714,0.3035714285714285,-0.866025403784439,15000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1127160.0,0.0,12.0,0.0,2007.0,1,40000.0,0,0,0.8089052071,13690.0,22/01/2021,1,11,3,1.0
8137,Tony Barrett,Miss Donna Harrison,XQRV66631079600924,0,0.6482285714,0.0,02/12/2020,0,0.0,50000.0,6,2,0.6785714285714285,0.3214285714285714,0.0,5000.0,01/01/1900,31/12/2020,179052.0,4038.0,179067.0,175029.0,0.0,96286.0,10518.0,62999.0,54613.0,12.0,8386.0,2017.0,0,5000.0,0,1,1.0,0.0,22/01/2021,1,4,1,1.0
8138,Howard Smart,Dr. Harry Wheeler,TGAK08485040123769,2,0.0,-9999.0,20/08/2020,0,0.0,80000.0,3,0,1.0,0.0,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,2,2,0.0,-9999.0,01/01/1900,1,4,1,0.5
8139,Tina Greenwood-Norton,Mr. Elliot Jackson,TRCB66755167261115,98,0.3784673488,0.0,18/04/2013,28,159300.23,200000.0,6,1,0.8035714285714285,0.1964285714285714,-0.866025403784439,200000.0,01/01/1900,31/08/2020,522234.0,126681.0,675439.0,497888.0,0.0,259478.0,231758.0,2395685.0,406722.0,3.0,1988963.0,2000.0,3,200000.0,1,0,0.9609716799,5180.0,21/01/2021,1,11,3,1.0
8140,Kerry Kaur,Dr. Guy Gallagher,VDBA21302131989643,0,0.376078526,0.0,12/07/2018,0,0.0,70000.0,2,0,1.0,0.0,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,2,2,1.0,-9999.0,01/01/1900,1,6,2,0.7
8141,Oliver Swift,David Cartwright,PBJV89571828663645,0,0.6115603541,0.0,30/06/2020,0,0.0,70000.0,6,1,0.7321428571428571,0.2678571428571428,0.0,15000.0,01/01/1900,31/12/2020,341376.0,179136.0,341376.0,5000.0,157239.0,28246.0,125574.0,281646.0,136359.0,12.0,145287.0,2019.0,0,5000.0,0,0,1.0,1620.0,22/01/2021,1,4,1,1.0
8142,Jason Lucas,Luke Collier,LECE32338153311549,4,0.5436747955,0.0,22/11/2019,39,706540.0,350000.0,6,1,0.6964285714285714,0.3035714285714285,0.0,300000.0,01/01/1900,31/10/2020,11692203.0,1718194.0,12518249.0,5341092.0,0.0,9897590.0,923371.0,17508914.0,7850253.0,10.0,9658661.0,2018.0,0,95400.0,0,1,1.0,2700.0,22/01/2021,1,5,1,1.0
8143,Toby Pugh,Cameron Hyde,TVXM45710206064554,6,0.4961049817,0.0,25/09/2015,0,0.0,150000.0,6,0,0.9285714285714284,0.0714285714285714,0.866025403784438,45000.0,01/01/1900,31/12/2019,208098.0,346398.0,1383532.0,1037133.0,0.0,156122.0,0.0,2160635.0,1378744.0,12.0,781891.0,2006.0,1,1200000.0,0,0,1.0,68637.0,22/01/2021,1,9,2,1.0
8144,Ms. Diana Rose,Christian Hawkins-Bentley,IMCM05865046111486,5,0.4141159308,0.0,04/09/2017,0,0.0,49999.0,6,2,0.6428571428571428,0.3571428571428571,-0.866025403784439,30000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,659153.0,1.0,12.0,1.0,1996.0,3,100000.0,0,1,0.9996596424,5400.0,22/01/2021,1,7,2,1.0
8145,Michael Ali,Yvonne Garner,WNMF23294348311972,4,0.437155852,0.0,01/11/2019,0,0.0,49999.0,6,2,0.6428571428571428,0.3571428571428571,0.0,15000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1078806.0,0.0,12.0,0.0,2018.0,0,10000.0,0,0,1.0,5280.0,22/01/2021,1,5,1,0.7
8146,Vanessa Evans-Wilson,Joe Patterson,SLBS98179259165337,0,0.0,-9999.0,27/11/2007,0,0.0,40000.0,6,0,0.9107142857142856,0.0892857142857142,0.0,40000.0,01/01/1900,31/12/2019,4310077.0,707794.0,4358795.0,3651001.0,110000.0,880140.0,1841829.0,4366355.0,1877807.0,12.0,2488548.0,2003.0,3,200000.0,0,0,0.0,338283.0,22/01/2021,1,17,3,1.0
8147,Leigh Holloway,Kathleen Wallis,TSGC04752344347638,4,0.3626027927,0.0,02/09/2014,0,14616.0,150000.0,6,2,0.6071428571428571,0.3928571428571428,0.866025403784439,150000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,1.0,0.0,2011.0,2,1000.0,0,1,1.0,12420.0,22/01/2021,1,10,2,1.0
8148,Dr. Paul Bennett,Holly Collins,HPRC32079483400898,3,0.2939644657,0.0,13/07/2020,132,47267.3,600000.0,6,0,0.9107142857142856,0.0892857142857142,0.0,600000.0,01/01/1900,31/07/2020,12444839.0,8142700.0,12637115.0,3923754.0,3626623.0,0.0,8790891.0,47870169.0,13624760.0,7.0,34245409.0,2013.0,2,3000000.0,0,0,1.0,391055.0,22/01/2021,1,4,1,1.0
8149,Nicola Davies,Lauren Allen-White,HXTO28280480553169,3,0.431734172,0.0,29/11/2019,19,53751.0,56000.0,6,1,0.8035714285714285,0.1964285714285714,0.0,56000.0,01/01/1900,31/12/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9881077.0,0.0,12.0,0.0,2015.0,2,100000.0,0,1,1.0,34200.0,22/01/2021,1,5,1,1.0
8150,Marcus Abbott,Tom Robinson,LAIC08249391451350,19,0.5011557372,0.0,24/01/2013,0,7875.0,50000.0,6,1,0.8214285714285714,0.1785714285714285,0.866025403784439,50000.0,01/01/1900,31/12/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530997.0,0.0,12.0,0.0,1995.0,3,150000.0,0,0,1.0,59190.0,22/01/2021,1,11,3,1.0
8151,Holly Stewart,Mr. Allan Andrews,VYBZ04148928170504,5,0.6166437965,0.0,06/11/2018,0,0.0,15000.0,5,2,0.5178571428571428,0.4821428571428571,0.866025403784439,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.0,1.0,0.0,1975.0,3,1600000.0,1,0,1.0,24250.0,01/01/1900,1,6,2,0.4
8152,Sara Foster,Dean Price,IFOK15843566708440,64,0.4266519022,0.0,07/07/2006,64,1276462.66,2500000.0,6,1,0.8571428571428571,0.1428571428571428,-0.0781916824713762,2100000.0,01/01/1900,31/12/2019,32111528.0,15506603.0,38920011.0,23156684.0,129750.0,16286209.0,10820788.0,108249535.0,0.0,12.0,0.0,1995.0,3,2000000.0,0,0,0.9999303945,10833160.0,22/01/2021,1,18,3,1.0
8153,Hilary Ball,Graeme Jordan,LQDK66845017177853,2,0.3087129058,0.0,30/08/2018,0,0.0,50000.0,6,1,0.8571428571428571,0.1428571428571428,0.0,40000.0,01/01/1900,31/12/2019,2594953.0,890308.0,2660919.0,1770610.0,0.0,386250.0,1949657.0,2775109.0,1719307.0,12.0,1055802.0,2008.0,1,400000.0,0,1,1.0,67590.0,22/01/2021,1,6,2,1.0
8154,Deborah Sanderson,Katherine Brown,CRVJ74620226887908,0,0.6190623837,0.0,01/04/2020,0,0.0,49999.0,6,1,0.875,0.125,0.0,49000.0,01/01/1900,31/12/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9458433.0,0.0,7.0,0.0,1966.0,3,500000.0,0,0,1.0,364500.0,22/01/2021,1,4,1,1.0
8155,Kyle Williams,Dr. Simon Howard,JAMO62574711845602,6,0.42892,0.0,23/04/2019,0,0.0,35000.0,6,1,0.75,0.25,-0.0,25000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3925510.0,0.0,12.0,0.0,2017.0,0,50000.0,0,0,1.0,8800.0,22/01/2021,1,5,1,0.5
8156,Miss Lynn Evans,Jonathan Fletcher,WCOO57409536225250,0,0.680232443,0.0,21/02/2019,27,38392.2,250000.0,5,1,0.7142857142857142,0.2857142857142857,0.0,0.0,01/01/1900,31/12/2019,49771196.0,28886413.0,50727546.0,20260876.0,4996422.0,21477249.0,22936973.0,40300874.0,15075301.0,12.0,25225573.0,2018.0,0,50000.0,1,0,1.0,8350571.0,01/01/1900,1,5,1,0.7
8157,Gail Nixon,Mrs. Natalie Thomas,AECF35899346703996,0,0.0,-9999.0,07/02/2011,0,0.0,25000.0,6,1,0.6964285714285714,0.3035714285714285,0.0,5000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,210293.0,0.0,12.0,0.0,1996.0,3,100000.0,0,0,0.0,2220.0,22/01/2021,1,13,3,1.0
8158,Lydia Nicholson,Dale Fox,EUGD39110585512948,3,0.568692112,0.0,08/10/2020,0,0.0,30000.0,6,1,0.75,0.25,0.0,20000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1397660.0,0.0,12.0,0.0,2009.0,1,50000.0,0,0,1.0,26400.0,22/01/2021,1,4,1,1.0
8159,Diane Jones-Patel,Jodie White,OJHA52488980502544,18,0.5230782572,0.0,26/01/2012,0,0.0,20000.0,6,1,0.8214285714285714,0.1785714285714285,-0.866025403784439,20000.0,01/01/1900,31/12/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163693.0,0.0,7.0,0.0,2011.0,2,40000.0,0,0,0.8515171372,10120.0,22/01/2021,1,12,3,0.7
8160,Douglas Ball,Mrs. Barbara Shah,ESPB41803564600697,100,0.4250065569,0.0,14/10/2011,0,0.0,50000.0,6,2,0.6428571428571428,0.3571428571428571,-0.866025403784439,5000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,358936.0,0.0,12.0,0.0,2004.0,3,40000.0,1,0,0.2397897065,0.0,22/01/2021,1,13,3,0.5
8161,Rosie Thornton,Alex Clark,POPU32025062275349,6,0.5914350962,0.0,07/03/2018,0,0.0,25000.0,6,2,0.6428571428571428,0.3571428571428571,-3.7e-15,25000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1122195.0,0.0,12.0,0.0,2017.0,0,20000.0,0,0,1.0,12210.0,22/01/2021,1,6,2,0.8
8162,Mr. Roy Taylor,Mr. Dylan Scott,UOGM83777814907383,18,0.4744018878,0.0,13/11/2019,0,0.0,80000.0,6,1,0.7678571428571428,0.2321428571428571,0.866025403784439,80000.0,01/01/1900,31/12/2019,1247839.0,621684.0,2214370.0,1592685.0,0.0,324736.0,593508.0,2442136.0,1499921.0,12.0,942215.0,1991.0,3,600000.0,0,0,1.0,136420.0,22/01/2021,1,5,1,1.0
8163,Mrs. Naomi Clarke,Miss Sandra Stevens,RSON21163534348580,20,0.4789348952,0.0,20/08/2008,0,0.0,30000.0,6,1,0.8571428571428571,0.1428571428571428,0.0,30000.0,01/01/1900,31/12/2019,1000247.0,673887.0,1985784.0,1078670.0,372890.0,155964.0,932433.0,3337898.0,1396391.0,12.0,1941507.0,2002.0,3,10000.0,0,0,1.0,213253.0,22/01/2021,1,16,3,0.8
8164,Russell Hughes-Jackson,Clifford Kennedy,WJQU37054489601558,9,0.3208518519,0.0,17/06/2009,26,6480.0,60000.0,3,0,1.0,0.0,0.0,0.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,2,2,1.0,-9999.0,01/01/1900,1,15,3,0.8
8165,Diane Alexander,Luke Wilson,RHFM12341950708935,150,0.3251118842,0.0,21/08/2017,0,0.0,40000.0,5,1,0.8571428571428571,0.1428571428571428,-0.142887953970952,0.0,01/01/1900,31/12/2019,9020123.0,1625774.0,9111383.0,6110682.0,1374906.0,3698623.0,4605858.0,6032260.0,0.0,12.0,0.0,2012.0,2,166250.0,0,0,0.9635468891,22800.0,01/01/1900,1,7,2,0.2
8166,Miss Louise Evans,Dale Scott,KGBY45041252394286,3,0.521527343,0.0,28/03/2018,39,205163.37,300000.0,6,1,0.8571428571428571,0.1428571428571428,0.0,250000.0,01/01/1900,31/12/2019,82761826.0,28571277.0,84342494.0,55771217.0,0.0,18042651.0,56893444.0,298054375.0,91070192.0,12.0,206984183.0,2018.0,0,40200000.0,0,0,1.0,97000.0,22/01/2021,1,6,2,0.9
8167,Jack Robson,Mrs. Alexandra Akhtar,NCCP32868223153118,0,0.3954243847,0.0,24/08/2020,27,9334.0,60000.0,5,2,0.6785714285714285,0.3214285714285714,0.0,0.0,01/01/1900,31/12/2020,245257.0,42267.0,245257.0,0.0,6800.0,79913.0,106238.0,384958.0,235159.0,12.0,149799.0,2020.0,0,30000.0,0,0,1.0,1920.0,01/01/1900,1,4,1,0.5
8168,Glen Brown-Wright,Lawrence Gardiner,MVLZ12464641391254,27,0.3342354064,0.0,11/05/2007,0,0.0,20000.0,6,1,0.8035714285714285,0.1964285714285714,0.0,20000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3590000.0,0.0,12.0,0.0,1993.0,3,103600.0,0,0,1.0,66600.0,22/01/2021,1,17,3,1.0
8169,Dr. Ben Hall,Terry Cook,AFUC19459157462629,7,0.6855247075,0.0,26/10/2018,0,0.0,50000.0,6,1,0.7142857142857142,0.2857142857142857,0.866025403784439,15000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1591931.0,0.0,12.0,0.0,2010.0,1,30000.0,0,1,1.0,1320.0,22/01/2021,1,6,2,1.0
8170,Miss Fiona Martin,Ms. Lydia Russell,HVSZ56294836659177,35,0.5733283555,0.0,26/03/2014,0,0.0,20000.0,6,1,0.8214285714285714,0.1785714285714285,0.181535764333295,20000.0,01/01/1900,31/12/2019,3291488.0,2428947.0,4935858.0,550000.0,1956910.0,2376467.0,494629.0,19154948.0,9491740.0,12.0,9663208.0,1990.0,3,550000.0,0,0,0.9406712013,1657600.0,22/01/2021,1,10,2,1.0
8171,Jennifer Shepherd,Teresa Quinn,ZGAB52871459789362,14,0.2974762824,0.0,03/01/2012,0,0.0,55000.0,6,1,0.7678571428571428,0.2321428571428571,0.0,20000.0,01/01/1900,31/12/2019,2836763.0,0.0,2836763.0,2836763.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011.0,2,160000.0,0,0,1.0,242263.0,22/01/2021,1,12,3,1.0
8172,Claire Duncan,Shaun Fuller,EDNU54768140145746,56,0.0,-9999.0,02/01/2015,0,0.0,60000.0,6,1,0.8571428571428571,0.1428571428571428,-0.990622847979695,60000.0,01/01/1900,31/12/2019,4057776.0,821066.0,4107344.0,1062085.0,57746.0,0.0,1779382.0,2818111.0,0.0,12.0,0.0,2011.0,2,70000.0,0,0,0.0,9900.0,22/01/2021,1,9,2,1.0
8173,Ms. Sharon Kennedy,Lynda Wood,GOMC34990249493217,0,0.5932890127,0.0,20/07/2020,21,12560.0,55000.0,6,2,0.6071428571428571,0.3928571428571428,0.866025403784439,5000.0,01/01/1900,31/12/2019,251131.0,44234.0,251131.0,76276.0,0.0,27554.0,171286.0,185198.0,137320.0,10.0,47878.0,2019.0,0,99800.0,0,1,1.0,5760.0,26/01/2021,1,4,1,1.0
8174,Dr. Grace Smith,Billy Bolton,XKXY96762412914186,41,0.5298735164,0.0,14/09/2010,11,6985.33,50000.0,6,1,0.8035714285714285,0.1964285714285714,-0.546935263988945,15000.0,01/01/1900,30/06/2020,2776111.0,765938.0,2978241.0,2021708.0,377000.0,1349430.0,1305426.0,2126167.0,999229.0,6.0,1126938.0,2008.0,1,100000.0,0,0,0.7458995387,15200.0,26/01/2021,1,14,3,0.7
8175,Joanna Cooke,Dr. Bethan Newton,QZSQ91892116775666,15,0.4630299826,0.0,21/05/2018,0,2000.0,40000.0,6,1,0.8214285714285714,0.1785714285714285,-0.866025403784439,35000.0,01/01/1900,31/12/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532956.0,658293.0,12.0,874663.0,2008.0,1,30000.0,0,0,0.8495737799,25200.0,26/01/2021,1,6,2,1.0
8176,Clifford Moore-Carter,Dr. Albert Saunders,QPPE51821908853748,0,0.0,-9999.0,21/05/2018,0,0.0,25000.0,6,2,0.6428571428571428,0.3571428571428571,0.0,10000.0,01/01/1900,01/01/1900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1761570.0,0.0,12.0,0.0,2017.0,0,100000.0,0,1,0.0,5280.0,26/01/2021,1,6,2,1.0
8177,Dr. June Abbott,Yvonne Thornton,JPHS12438644033176,3,0.0,-9999.0,31/10/2017,0,0.0,25000.0,6,1,0.875,0.125,0.0,25000.0,01/01/1900,30/12/2020,23981996.0,1584869.0,45745797.0,44160927.0,0.0,8285889.0,15213807.0,40699312.0,12521880.0,12.0,28177432.0,1989.0,3,380000.0,1,0,0.0,0.0,26/01/2021,1,7,2,1.0
